model,valid,desc,prop1.valid,prop1.states,prop1.times,prop2.valid,prop2.states,prop2.times,prop3.valid,prop3.states,prop3.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,event-centre-assignwire.valid,event-centre-assignwire.states,event-centre-assignwire.times,event-command-driverupdatewire.valid,event-command-driverupdatewire.states,event-command-driverupdatewire.times,event-query-driverquerywire.valid,event-query-driverquerywire.states,event-query-driverquerywire.times,secure-writeoraclepaywire.valid,secure-writeoraclepaywire.states,secure-writeoraclepaywire.times,secure-readropayprocesswire.valid,secure-readropayprocesswire.states,secure-readropayprocesswire.times
0,true,setup database: assignwirelog,true,79,0.0667849,true,54,0.0038946999999999996,true,10,0.0028714,true,29,0.0026376,true,29,0.0062919,,,,,,,,,,,,,,,
1,true,setup database: paymentblockchain,true,79,0.0042661,true,54,0.0036422,true,10,0.0064229,true,29,0.0031068999999999997,true,29,0.0030391,,,,,,,,,,,,,,,
2,true,setup database: driverupdatewirecommandlog,true,79,0.0043798,true,54,0.0029211999999999997,true,10,0.0027421999999999998,true,29,0.0060599,true,29,0.0033986,,,,,,,,,,,,,,,
4,true,deploy service: paymentoracle,true,79,0.0041863,true,54,0.0031750999999999997,true,10,0.0035808,true,29,0.0031149999999999997,true,29,0.0031623,,,,,,,,,,,,,,,
5,true,setup database: driverrecord,true,79,0.007138599999999999,true,54,0.0033095999999999998,true,10,0.0623993,true,29,0.0065068999999999995,true,29,0.0031528,,,,,,,,,,,,,,,
6,true,network route for connector:driverupdatewire between: driverui driverupdatewirecommandlog ,true,79,0.0041592,true,54,0.0031750999999999997,true,10,0.0027542,true,29,0.0028328999999999997,true,29,0.0029925,,,,true,16,0.0034560999999999997,,,,,,,,,
7,false,network route for connector:oraclepaywire between: paymentoracle paymentblockchain ,false,3051,0.0806633,false,2510,0.0515802,true,10,0.003918,false,1382,0.028953,false,1382,0.0381789,,,,false,636,0.0164284,,,,true,1184,0.027004999999999998,,,
9,false,deploy service: tripmgmt,false,3051,0.070383,false,2510,0.0538016,true,627,0.0167473,false,1382,0.027489399999999997,false,1382,0.1099836,,,,false,636,0.0228302,,,,true,1184,0.035025299999999995,,,
11,true,network route for connector:paywire between: passengerui paymentoracle ,true,79,0.0042082,true,54,0.0031750999999999997,true,40,0.0031592,true,29,0.0036460999999999998,true,29,0.0068251,,,,true,16,0.0033932999999999997,,,,true,67,0.0036290999999999997,,,
12,true,network route for connector:driverupdatewire between: driverui driverrecord ,true,79,0.0053162999999999995,true,54,0.005399999999999999,true,40,0.0042753,true,29,0.0072575999999999995,true,29,0.0037487999999999996,,,,true,96,0.0055147,,,,true,67,0.0053555,,,
13,false,network route for connector:assignwire between: tripmgmt driverui ,false,35,0.0048435,true,23,0.0042079,true,40,0.0074567999999999995,true,29,0.0082629,true,29,0.0038799,false,30,0.0044599999999999996,true,96,0.0725627,,,,true,67,0.0088819,,,
14,false,deploy service: payment,false,35,0.0043798,true,23,0.0043774,true,40,0.004749199999999999,true,29,0.004085,true,29,0.0039363,false,30,0.0052732,true,96,0.0060038,,,,true,67,0.0046426,,,
15,false,network route for connector:driverquerywire between: tripmgmt driverrecord ,false,33,0.0043022,true,21,0.0036546,true,40,0.0043127999999999994,true,29,0.0064459,true,29,0.0041938,false,28,0.0073148,true,96,0.004867799999999999,true,22,0.004954699999999999,true,67,0.0045334,,,
16,false,network route for connector:ropayprocesswire between: payment paymentblockchain ,false,33,0.0068971,true,21,0.06810229999999999,true,40,0.0059264,true,29,0.0069374,true,29,0.0054846999999999995,false,28,0.005079,true,96,0.0064973999999999995,true,22,0.005347,true,67,0.0069356,true,10,0.0081114
17,false,network route for connector:payprocesswire between: billinggateway payment ,false,33,0.0059028,true,21,0.005168,true,40,0.0085299,true,29,0.0051959,true,29,0.0084458,false,28,0.008480099999999999,true,96,0.0065942,true,22,0.005787,true,67,0.0058078,true,22,0.005110099999999999
18,true,network route for connector:assignwire between: tripmgmt assignwirelog ,true,197,0.016260399999999998,true,131,0.0160404,true,40,0.0686087,true,29,0.011625199999999999,true,29,0.009746999999999999,true,182,0.014641399999999999,true,96,0.0114228,true,132,0.0099232,true,67,0.0085684,true,22,0.010078199999999999
