model,valid,desc,prop1.valid,prop1.states,prop1.times,prop2.valid,prop2.states,prop2.times,prop3.valid,prop3.states,prop3.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,event-centre-assignwire.valid,event-centre-assignwire.states,event-centre-assignwire.times,event-command-driverupdatewire.valid,event-command-driverupdatewire.states,event-command-driverupdatewire.times,event-query-driverquerywire.valid,event-query-driverquerywire.states,event-query-driverquerywire.times,secure-writeoraclepaywire.valid,secure-writeoraclepaywire.states,secure-writeoraclepaywire.times,secure-readropayprocesswire.valid,secure-readropayprocesswire.states,secure-readropayprocesswire.times
0,true,setup database: driverupdatewirecommandlog,true,79,0.07836,true,54,0.0036154,true,10,0.0031368999999999998,true,29,0.0035596,true,29,0.00649,,,,,,,,,,,,,,,
1,true,setup database: assignwirelog,true,79,0.0039625,true,54,0.0035627999999999996,true,10,0.0062169999999999994,true,29,0.0035169,true,29,0.0032256,,,,,,,,,,,,,,,
2,true,setup database: driverrecord,true,79,0.0045401999999999994,true,54,0.0031945,true,10,0.0029982,true,29,0.0030405,true,29,0.0033509,,,,,,,,,,,,,,,
3,true,setup database: paymentblockchain,true,79,0.007637199999999999,true,54,0.0036525,true,10,0.0063865,true,29,0.003323,true,29,0.0065052,,,,,,,,,,,,,,,
4,true,network route for connector:driverupdatewire between: driverui driverupdatewirecommandlog ,true,79,0.0048703,true,54,0.0037625999999999996,true,10,0.062423299999999994,true,29,0.0038385,true,29,0.0041034,,,,true,16,0.0026623999999999997,,,,,,,,,
5,true,network route for connector:driverupdatewire between: driverui driverrecord ,true,79,0.0047060999999999995,true,54,0.0037895,true,10,0.0033078,true,29,0.0044472999999999995,true,29,0.0038036,,,,true,96,0.004640399999999999,,,,,,,,,
7,true,deploy service: paymentoracle,true,79,0.0044519,true,54,0.0088127,true,10,0.0040087,true,29,0.0038247999999999997,true,29,0.0042453,,,,true,96,0.007912599999999999,,,,,,,,,
8,false,network route for connector:oraclepaywire between: paymentoracle paymentblockchain ,false,3051,0.094792,false,2510,0.0571992,true,627,0.0258485,false,1382,0.0336203,false,1382,0.0455517,,,,false,2817,0.161983,,,,true,1184,0.0303563,,,
9,true,network route for connector:paywire between: passengerui paymentoracle ,true,79,0.0051616,true,54,0.0046803,true,40,0.008860699999999999,true,29,0.0043244,true,29,0.0042572999999999995,,,,true,96,0.0086121,,,,true,67,0.0042838,,,
11,true,deploy service: tripmgmt,true,79,0.0048262,true,54,0.0048809,true,40,0.007528099999999999,true,29,0.0049699,true,29,0.0071344,,,,true,96,0.0065398,,,,true,67,0.004827199999999999,,,
12,true,network route for connector:driverquerywire between: tripmgmt driverrecord ,true,77,0.0080013,true,52,0.0053269,true,40,0.0037375999999999998,true,29,0.0072223,true,29,0.0039226,,,,true,96,0.07070889999999999,true,53,0.0044713,true,67,0.0044551,,,
13,false,network route for connector:assignwire between: tripmgmt driverui ,false,33,0.0043755999999999995,true,21,0.0040815,true,40,0.004344499999999999,true,29,0.0041009,true,29,0.0030916999999999997,false,28,0.0051249,true,96,0.0052312,true,22,0.0069134,true,67,0.0054727,,,
14,true,network route for connector:assignwire between: tripmgmt assignwirelog ,true,197,0.0093805,true,131,0.0125846,true,40,0.0064437,true,29,0.0050592,true,29,0.0098402,true,182,0.0103512,true,96,0.0090853,true,132,0.0076284,true,67,0.0060355,,,
16,true,deploy service: payment,true,197,0.06804299999999999,true,54,0.0031750999999999997,true,40,0.005337499999999999,true,29,0.0048438,true,29,0.0084119,true,182,0.009802499999999999,true,96,0.0066796,true,132,0.0098272,true,67,0.0062326,,,
17,true,network route for connector:payprocesswire between: billinggateway payment ,true,197,0.0112442,true,131,0.009587799999999999,true,40,0.0083392,true,29,0.0062905,true,29,0.0053269,true,182,0.0082562,true,96,0.0062258999999999995,true,132,0.0088011,true,67,0.0090857,,,
18,true,network route for connector:ropayprocesswire between: payment paymentblockchain ,true,197,0.0146156,true,131,0.011628699999999999,true,10,0.003918,true,29,0.06956129999999999,true,29,0.010348,true,182,0.012680199999999999,true,96,0.009484,true,132,0.0120168,true,67,0.0105553,true,22,0.0103565
